qW:,qX:,qY:,qZ:,direction
0.788,0.609,0.025,-0.087,100,
0.828,0.556,0.018,-0.078,100,
0.878,0.477,-0.005,-0.053,100,
0.907,0.419,-0.045,-0.019,100,
0.925,0.376,-0.054,0.015,100,
0.945,0.318,-0.054,0.047,-100,
0.958,0.276,-0.063,0.049,-100,
0.972,0.220,-0.067,0.036,-100,
0.969,0.124,-0.073,0.200,-100,
0.976,0.099,-0.071,0.181,-100,
0.980,0.092,-0.049,0.167,-100,
0.986,0.082,-0.031,0.143,-100,
0.988,0.085,-0.030,0.122,-100,
0.992,0.081,-0.019,0.095,-100,
0.995,0.078,-0.013,0.067,-100,
0.996,0.074,-0.019,0.043,-100,
0.997,0.066,-0.026,0.014,-100,
0.997,0.057,-0.036,-0.020,100,
0.997,0.050,-0.034,-0.037,100,
0.997,0.045,-0.034,-0.047,100,
0.997,0.043,-0.032,-0.052,100,
0.997,0.042,-0.028,-0.055,100,
0.997,0.042,-0.031,-0.059,100,
0.997,0.043,-0.035,-0.059,100,
0.997,0.044,-0.036,-0.059,100,
0.996,0.045,-0.037,-0.061,100,
0.996,0.047,-0.039,-0.066,100,
0.996,0.048,-0.037,-0.069,100,
0.996,0.050,-0.033,-0.071,100,
0.995,0.051,-0.035,-0.072,100,
0.995,0.051,-0.037,-0.074,100,
0.995,0.050,-0.039,-0.077,100,
0.995,0.046,-0.043,-0.082,100,
0.994,0.044,-0.046,-0.086,100,
0.994,0.042,-0.046,-0.091,100,
0.993,0.041,-0.047,-0.096,100,
0.993,0.039,-0.050,-0.097,100,
0.993,0.037,-0.054,-0.097,100,
0.993,0.036,-0.056,-0.093,100,
0.994,0.036,-0.057,-0.092,100,
0.993,0.036,-0.058,-0.092,100,
0.993,0.037,-0.060,-0.090,100,
0.994,0.037,-0.060,-0.089,100,
0.994,0.037,-0.057,-0.088,100,
0.994,0.037,-0.055,-0.087,100,
0.994,0.036,-0.056,-0.084,100,
0.994,0.037,-0.056,-0.082,100,
0.995,0.039,-0.055,-0.079,100,
0.995,0.040,-0.055,-0.076,100,
0.995,0.042,-0.054,-0.070,100,
0.996,0.045,-0.050,-0.065,100,
0.996,0.045,-0.050,-0.055,100,
0.996,0.056,-0.058,-0.025,100,
0.995,0.072,-0.066,0.008,100,
0.991,0.099,-0.080,0.051,-100,
0.982,0.141,-0.077,0.104,-100,
0.975,0.169,-0.063,0.127,-100,
0.970,0.197,-0.054,0.134,-100,
0.953,0.260,-0.046,0.145,-100,
0.933,0.334,-0.024,0.133,-100,
0.901,0.416,0.013,0.120,-100,
0.858,0.499,0.058,0.107,-100,
0.781,0.611,0.106,0.078,-100,
0.712,0.693,0.105,0.041,-100,
0.637,0.764,0.099,0.008,-100,
0.551,0.831,0.076,-0.022,-100,
0.438,0.893,0.106,-0.009,-100,
0.368,0.919,0.142,0.016,-100,
0.308,0.941,0.140,0.026,-100,
0.266,0.955,0.127,0.009,-100,
0.042,0.043,0.969,-0.240,-100,
0.031,0.051,0.974,-0.220,-100,
0.021,0.075,0.977,-0.199,-100,
0.022,0.094,0.979,-0.182,-100,
0.025,0.109,0.981,-0.161,-100,
0.026,0.097,0.985,-0.143,-100,
0.022,0.089,0.987,-0.133,-100,
