F1,
1.08,
1.08,
1.08,
1.08,
1.08,
1.80,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.80,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.80,
1.80,
1.80,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.80,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.80,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.08,
1.80,
1.80,
1.80,
1.08,
1.80,
3.24,
5.40,
6.84,
9.36,
11.16,
12.96,
16.20,
19.44,
21.96,
24.84,
27.72,
32.76,
36.36,
42.48,
44.64,
49.68,
55.08,
61.20,
64.44,
71.64,
75.96,
80.28,
90.00,
90.00,
95.40,
95.40,
101.16,
101.16,
107.64,
114.48,
114.48,
114.48,
107.64,
107.64,
107.64,
107.64,
107.64,
95.40,
107.64,
107.64,
107.64,
101.16,
107.64,
101.16,
101.16,
101.16,
101.16,
101.16,
101.16,
101.16,
101.16,
101.16,
95.40,
101.16,
101.16,
101.16,
101.16,
101.16,
101.16,
95.40,
101.16,
95.40,
95.40,
101.16,
95.40,
95.40,
95.40,
101.16,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
90.00,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
90.00,
95.40,
95.40,
95.40,
95.40,
90.00,
95.40,
95.40,
90.00,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
95.40,
90.00,
95.40,
80.28,
101.16,
95.40,
90.00,
90.00,
90.00,
95.40,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
95.40,
95.40,
90.00,
90.00,
90.00,
95.40,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
84.96,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
84.96,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
84.96,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
84.96,
84.96,
90.00,
90.00,
90.00,
90.00,
90.00,
90.00,
101.16,
90.00,
90.00,
90.00,
90.00,
84.96,
84.96,
90.00,
90.00,
80.28,
84.96,
90.00,
90.00,
84.96,
84.96,
90.00,
90.00,
84.96,
90.00,
90.00,
84.96,
90.00,
84.96,
90.00,
90.00,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
90.00,
84.96,
90.00,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
90.00,
84.96,
84.96,
80.28,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
90.00,
80.28,
84.96,
80.28,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
84.96,
80.28,
80.28,
75.96,
71.64,
68.04,
61.20,
57.96,
49.68,
42.48,
38.16,
30.96,
26.28,
20.88,
17.28,
15.12,
12.96,
12.96,
11.16,
11.16,
10.08,
9.36,
8.64,
7.56,
6.84,
6.12,
5.40,
4.68,
4.68,
3.96,
3.24,
3.24,
2.52,
3.96,
2.52,
1.80,
1.08,
1.08,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
1.80,
2.52,
2.52,
1.80,
2.52,
1.80,
2.52,
2.52,
2.52,
2.52,
2.52,
3.24,
2.52,
2.52,
2.52,
3.24,
4.68,
3.24,
3.24,
3.24,
3.24,
3.24,
3.24,
3.24,
3.24,
3.24,
3.24,
3.96,
3.24,
3.24,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,
3.96,